Aluno,Universidade,Nota,Resultado
I6236,B3175,,Cancelada
I6236,B3175,,Cancelada
J6081,C3176,,Aceita
I6014,D3177,"2,82",Aceita
J6081,D3177,,Escolhida
K6130,D3177,"2,82",Aceita
I6140,D3177,"3,15",Aceita
K6184,D3177,,Aceita
K6142,E3178,"2,48",Inválida / Cancelada
I6062,F3179,"3,48",Aceita
I6038,A3180,"3,15",Aceita
L6191,B3181,,Aceita
K6028,C3182,,Escolhida
G6000,D3183,"4,15",Aceita
L6011,D3183,,Inválida / Cancelada
G6030,D3183,"3,15",Negada
K6004,D3183,"3,15",Cancelada
I6116,D3183,,Cancelada
G6144,D3183,"3,15",Cancelada
J6147,D3183,,Cancelada
L6161,D3183,,Cancelada
H6175,D3183,,Cancelada
K6034,D3183,"3,15",Negada
J6051,D3183,,Negada
L6053,D3183,"2,82",Negada
H6061,D3183,"2,48",Negada
J6063,D3183,,Negada
G6066,D3183,,Cancelada
I6074,D3183,,Negada
K6076,D3183,"3,15",Negada
J6087,D3183,"2,48",Negada
L6089,D3183,"2,82",Negada
J6093,D3183,"3,82",Escolhida
L6095,D3183,,Aceita
J6105,D3183,,Negada
J6111,D3183,,Aceita
L6119,D3183,"3,15",Negada
G6120,D3183,"3,15",Escolhida
I6122,D3183,"3,48",Aceita
I6152,D3183,"2,48",Negada
I6158,D3183,,Negada
H6169,D3183,,Negada
I6182,D3183,"3,24",Negada
G6186,D3183,"3,15",Negada
K6190,D3183,"2,15",Negada
H6199,D3183,,Inválida / Cancelada
J6201,D3183,,Negada
J6207,D3183,"3,48",Negada
J6213,D3183,,Inválida / Cancelada
K6220,D3183,"3,15",Negada
K6226,D3183,,Negada
H6241,D3183,"3,15",Negada
H6091,E3184,"2,48",Aceita
I6014,F3185,"2,82",Negada
H6109,F3185,,Aceita
L6233,F3185,,Inválida / Cancelada
G6024,A3186,"2,82",Cancelada
H6019,B3187,"2,82",Aceita
I6026,B3187,,Aceita
I6020,B3187,"3,93",Cancelada
J6099,B3187,"3,48",Cancelada
L6107,B3187,,Cancelada
K6040,B3187,"3,15",Aceita
K6046,B3187,"2,48",Negada
G6048,B3187,"2,82",Aceita
J6057,B3187,"2,82",Escolhida
K6064,B3187,,Cancelada
H6067,B3187,,Aceita
H6073,B3187,"2,82",Aceita
K6082,B3187,,Aceita
H6121,B3187,"3,48",Inválida / Cancelada
L6131,B3187,,Aceita
H6139,B3187,,Aceita
G6144,B3187,"3,15",Aceita
K6154,B3187,,Negada
G6162,B3187,,Aceita
I6164,B3187,"2,82",Negada
L6173,B3187,,Cancelada
I6176,B3187,"3,15",Escolhida
G6192,B3187,,Aceita
G6198,B3187,,Aceita
K6202,B3187,,Aceita
G6204,B3187,,Inválida / Cancelada
L6209,B3187,,Aceita
K6238,B3187,"3,48",Aceita
G6240,B3187,,Aceita
J6243,B3187,"2,82",Aceita
I6062,C3188,"3,48",Cancelada
I6008,D3189,"2,82",Negada
I6020,D3189,"3,93",Negada
K6076,D3189,"3,15",Cancelada
G6198,D3189,,Cancelada
K6034,D3189,"3,15",Aceita
G6066,D3189,,Cancelada
H6079,D3189,,Cancelada
L6137,D3189,,Inválida / Cancelada
H6169,D3189,,Negada
G6198,D3189,,Negada
L6215,D3189,"2,48",Negada
K6226,D3189,,Aceita
G6234,D3189,"3,48",Aceita
K6244,E3190,,Aceita
G6000,F3191,"4,15",Negada
L6011,F3191,,Negada
K6022,F3191,"3,48",Negada
L6023,F3191,"4,15",Cancelada
L6023,F3191,"4,15",Negada
I6026,F3191,,Negada
H6007,F3191,"3,15",Cancelada
L6101,F3191,"3,48",Cancelada
I6104,F3191,,Cancelada
I6140,F3191,"3,15",Cancelada
J6183,F3191,,Cancelada
H6187,F3191,,Cancelada
G6198,F3191,,Cancelada
I6044,F3191,"3,82",Negada
K6064,F3191,,Escolhida
I6080,F3191,"3,48",Negada
H6085,F3191,"3,82",Inválida / Cancelada
K6094,F3191,,Negada
L6095,F3191,,Negada
G6108,F3191,,Negada
G6114,F3191,,Negada
L6125,F3191,"4,15",Negada
K6136,F3191,,Negada
J6141,F3191,"3,82",Negada
I6146,F3191,"3,48",Negada
J6147,F3191,,Inválida / Cancelada
G6162,F3191,,Negada
K6166,F3191,"3,48",Negada
L6185,F3191,,Negada
J6201,F3191,,Negada
J6207,F3191,"3,48",Negada
L6209,F3191,,Negada
L6155,A3192,"2,82",Aceita
K6172,A3192,,Aceita
I6038,B3193,"3,15",Escolhida
L6071,C3194,"2,15",Aceita
K6016,D3195,,Negada
G6048,D3195,"2,82",Aceita
I6074,E3196,,Cancelada
L6023,F3197,"4,15",Cancelada
G6012,A3198,,Inválida / Cancelada
I6026,A3198,,Aceita
L6059,A3198,"2,15",Inválida / Cancelada
K6082,A3198,,Escolhida
K6118,A3198,"4,15",Aceita
L6131,A3198,,Aceita
I6170,A3198,,Aceita
L6227,A3198,"2,15",Negada
J6231,B3199,"2,48",Aceita
I6062,C3200,"3,48",Cancelada
J6231,C3200,"2,48",Cancelada
I6242,C3200,"2,82",Cancelada
L6071,D3201,"2,15",Aceita
J6003,E3202,"2,82",Inválida / Cancelada
L6029,E3202,,Aceita
L6041,E3202,"3,48",Cancelada
I6062,E3202,"3,48",Aceita
K6208,E3202,"2,48",Aceita
J6231,E3202,"2,48",Cancelada
G6036,F3203,"3,15",Aceita
I6152,F3203,"2,48",Aceita
L6155,F3203,"2,82",Aceita
K6004,A3204,"3,15",Aceita
H6061,A3204,"2,48",Escolhida
K6100,A3204,,Aceita
L6119,A3204,"3,15",Escolhida
I6164,A3204,"2,82",Aceita
K6178,A3204,,Aceita
G6186,A3204,"3,15",Aceita
K6214,A3204,,Aceita
G6036,B3205,"3,15",Negada
I6152,B3205,"2,48",Negada
L6155,B3205,"2,82",Negada
L6191,B3205,,Aceita
G6246,B3205,"2,82",Aceita
G6006,C3206,,Escolhida
G6012,C3206,,Aceita
I6026,C3206,,Aceita
H6007,C3206,"3,15",Cancelada
K6040,C3206,"3,15",Cancelada
K6034,C3206,"3,15",Aceita
K6082,C3206,,Aceita
J6105,C3206,,Aceita
J6123,C3206,,Aceita
L6131,C3206,,Aceita
H6139,C3206,,Aceita
G6144,C3206,"3,15",Aceita
G6156,C3206,,Aceita
K6166,C3206,"3,48",Aceita
H6175,C3206,,Aceita
I6176,C3206,"3,15",Escolhida
G6204,C3206,,Aceita
K6220,C3206,"3,15",Escolhida
J6243,C3206,"2,82",Aceita
J6009,D3207,,Cancelada
L6113,D3207,"3,82",Cancelada
I6116,D3207,,Cancelada
I6122,D3207,"3,48",Cancelada
I6170,D3207,,Cancelada
G6186,D3207,"3,15",Aceita
I6230,D3207,"3,15",Aceita
J6009,E3208,,Inválida / Cancelada
I6068,F3209,,Negada
G6168,F3209,"3,82",Negada
H6181,F3209,,Negada
I6152,A3210,"2,48",Cancelada
L6155,A3210,"2,82",Aceita
L6191,A3210,,Aceita
G6246,A3210,"2,82",WaitList
J6015,B3211,"3,48",Negada
K6022,B3211,"3,48",Cancelada
I6068,B3211,,Cancelada
I6080,B3211,"3,48",Cancelada
G6132,B3211,,Cancelada
G6234,B3211,"3,48",Cancelada
I6044,B3211,"3,82",Negada
J6051,B3211,,Negada
I6068,B3211,,Negada
J6141,B3211,"3,82",Negada
J6147,B3211,,Negada
J6189,B3211,"4,15",Negada
H6199,B3211,,Negada
H6181,C3212,,Negada
K6028,D3213,,Inválida / Cancelada
L6089,D3213,"2,82",Cancelada
H6001,E3214,,Aceita
G6006,E3214,,Inválida / Cancelada
H6013,E3214,"2,15",Negada
J6015,E3214,"3,48",Escolhida
H6019,E3214,"2,82",Aceita
I6026,E3214,,Escolhida
K6010,E3214,"2,82",Cancelada
H6097,E3214,"3,48",Cancelada
L6101,E3214,"3,48",Cancelada
I6116,E3214,,Cancelada
K6040,E3214,"3,15",Escolhida
L6041,E3214,"3,48",Aceita
I6050,E3214,"4,15",Aceita
K6064,E3214,,Cancelada
H6067,E3214,,Aceita
K6082,E3214,,Negada
H6085,E3214,"3,82",Negada
J6099,E3214,"3,48",Aceita
L6131,E3214,,Escolhida
G6138,E3214,,Negada
G6144,E3214,"3,15",Negada
G6162,E3214,,Aceita
H6175,E3214,,Aceita
I6182,E3214,"3,24",Cancelada
G6198,E3214,,Negada
H6199,E3214,,Aceita
K6202,E3214,,Aceita
G6204,E3214,,Escolhida
J6207,E3214,"3,48",Aceita
L6209,E3214,,Escolhida
K6238,E3214,"3,48",Negada
J6243,E3214,"2,82",Aceita
J6153,F3215,"2,82",Cancelada
I6164,F3215,"2,82",Escolhida
I6170,F3215,,Aceita
I6152,A3216,"2,48",Cancelada
H6169,A3216,,Cancelada
G6246,A3216,"2,82",Cancelada
K6094,B3217,4,Aceita
I6044,C3218,"3,82",Negada
I6080,C3218,"3,48",Escolhida
G6114,C3218,,Negada
J6129,C3218,"3,48",Negada
J6141,C3218,"3,82",Negada
J6147,C3218,,Aceita
I6176,C3218,"3,15",Negada
J6063,D3219,,Aceita
J6105,D3219,,Negada
G6144,D3219,"3,15",WaitList
H6169,D3219,,Negada
I6020,E3220,"3,93",Inválida / Cancelada
H6115,E3220,"3,15",Escolhida
J6219,E3220,,Aceita
K6232,E3220,,Aceita
K6220,F3221,"3,15",Aceita
K6100,A3222,,Negada
H6091,B3223,"2,48",Aceita
K6172,B3223,,Escolhida
G6012,C3224,,Aceita
H6007,C3224,"3,15",Cancelada
K6034,C3224,"3,15",Cancelada
K6058,C3224,"3,48",Aceita
H6061,C3224,"2,48",Negada
I6086,C3224,"3,15",Aceita
K6088,C3224,"2,82",Aceita
G6120,C3224,"3,15",Cancelada
H6127,C3224,"3,15",Aceita
G6144,C3224,"3,15",Aceita
L6173,C3224,,Escolhida
K6196,C3224,"2,48",Aceita
G6240,C3224,,Escolhida
H6001,D3225,,Aceita
I6218,D3225,,Cancelada
G6036,D3225,"3,15",Inválida / Cancelada
L6065,D3225,,Negada
K6178,D3225,,WaitList
K6202,D3225,,Aceita
K6028,E3226,,Cancelada
J6003,F3227,"2,82",Inválida / Cancelada
H6157,F3227,"3,48",Cancelada
J6039,F3227,,Aceita
H6097,F3227,"3,48",Aceita
J6117,F3227,"4,15",Aceita
L6149,F3227,"4,15",Aceita
G6168,F3227,"3,82",Aceita
J6189,F3227,"4,15",Aceita
I6200,F3227,"3,82",Aceita
L6203,F3227,"2,15",Aceita
J6225,F3227,"4,15",Aceita
I6008,A3228,"2,82",Aceita
I6020,A3228,"3,93",Aceita
J6003,A3228,"2,82",Cancelada
L6005,A3228,,Cancelada
L6005,A3228,,Cancelada
K6040,A3228,"3,15",Cancelada
J6051,A3228,,Cancelada
J6105,A3228,,Cancelada
I6206,A3228,"2,91",Cancelada
L6227,A3228,"2,15",Cancelada
K6052,A3228,"2,15",Negada
L6071,A3228,"2,15",Escolhida
L6077,A3228,"4,15",Aceita
L6107,A3228,,Aceita
L6119,A3228,"3,15",Aceita
K6148,A3228,"2,15",Escolhida
J6177,A3228,,Aceita
K6190,A3228,"2,15",Aceita
K6196,A3228,"2,48",Aceita
K6208,A3228,"2,48",Cancelada
G6210,A3228,,Aceita
H6169,B3229,,Cancelada
K6028,C3230,,Cancelada
J6051,C3230,,Cancelada
L6089,C3230,"2,82",Cancelada
I6116,C3230,,Cancelada
G6036,C3230,"3,15",Inválida / Cancelada
K6148,C3230,"2,15",Aceita
I6164,C3230,"2,82",Negada
I6218,C3230,,Aceita
K6220,C3230,"3,15",Aceita
K6046,D3231,"2,48",Cancelada
J6099,D3231,"3,48",Cancelada
J6105,D3231,,Cancelada
L6047,D3231,,Negada
L6107,D3231,,Escolhida
J6123,D3231,,Aceita
H6127,D3231,"3,15",Cancelada
L6071,E3232,"2,15",Aceita
G6036,F3233,"3,15",Escolhida
J6063,F3233,,Aceita
L6089,F3233,"2,82",Aceita
L6155,F3233,"2,82",Aceita
H6169,F3233,,Escolhida
G6246,F3233,"2,82",Aceita
I6014,A3234,"2,82",Inválida / Cancelada
L6155,B3235,"2,82",Aceita
G6246,B3235,"2,82",Escolhida
J6087,C3236,"2,48",Cancelada
H6169,C3236,,Negada
K6178,C3236,,Escolhida
G6186,D3237,"3,15",Aceita
J6063,E3238,,Negada
K6016,F3239,,Cancelada
G6048,F3239,"2,82",Negada
J6063,F3239,,Negada
I6122,A3240,"3,48",Cancelada
L6245,A3240,"4,15",Cancelada
J6033,A3240,"3,15",Cancelada
L6047,A3240,,Negada
H6049,A3240,,Aceita
G6090,A3240,"3,48",Inválida / Cancelada
H6109,A3240,,Cancelada
H6151,A3240,"2,48",Cancelada
G6174,A3240,"3,48",Aceita
G6228,A3240,,Escolhida
L6023,B3241,"4,15",Negada
I6068,B3241,,Cancelada
H6187,B3241,,Cancelada
I6056,B3241,"3,82",Negada
I6068,B3241,,Negada
H6211,B3241,"3,82",Negada
I6014,C3242,"2,82",Aceita
L6191,D3243,,Aceita
K6082,E3244,,Aceita
G6000,F3245,"4,15",Negada
J6015,F3245,"3,48",Negada
K6022,F3245,"3,48",Negada
L6023,F3245,"4,15",Cancelada
L6023,F3245,"4,15",Negada
K6022,F3245,"3,48",Cancelada
K6082,F3245,,Cancelada
I6104,F3245,,Cancelada
K6112,F3245,"3,15",Cancelada
J6129,F3245,"3,48",Cancelada
J6183,F3245,,Cancelada
H6187,F3245,,Cancelada
H6229,F3245,"4,15",Cancelada
L6041,F3245,"3,48",Negada
J6051,F3245,,Negada
I6056,F3245,"3,82",Negada
K6064,F3245,,Cancelada
K6070,F3245,"3,82",Negada
I6080,F3245,"3,48",Negada
I6080,F3245,"3,48",Negada
H6085,F3245,"3,82",Negada
K6094,F3245,,Negada
L6095,F3245,,Negada
G6102,F3245,"3,48",Negada
J6105,F3245,,Negada
G6108,F3245,,Negada
J6111,F3245,,Negada
I6122,F3245,"3,48",Negada
K6124,F3245,"3,48",Negada
L6125,F3245,"4,15",Negada
G6132,F3245,,Negada
J6141,F3245,"3,82",Negada
I6146,F3245,"3,48",Negada
J6147,F3245,,Negada
G6162,F3245,,Escolhida
K6166,F3245,"3,48",Negada
I6176,F3245,"3,15",Negada
J6189,F3245,"4,15",Negada
G6192,F3245,,Negada
H6199,F3245,,Negada
H6211,F3245,"3,82",Negada
H6229,F3245,"4,15",Negada
J6237,F3245,,Negada
L6005,A3246,,Cancelada
L6017,A3246,,Aceita
J6231,A3246,"2,48",Cancelada
J6123,A3246,,Aceita
L6173,A3246,,Cancelada
K6214,B3247,,Negada
G6174,C3248,"3,48",Negada
G6048,D3249,"2,82",Cancelada
G6078,D3249,"3,48",Aceita
L6023,E3250,"4,15",Negada
L6023,E3250,"4,15",Cancelada
H6229,E3250,"4,15",Cancelada
I6068,E3250,,Negada
G6102,E3250,"3,48",Negada
K6112,E3250,"3,15",Negada
G6132,E3250,,Negada
H6187,E3250,,Negada
I6212,E3250,,Negada
H6229,E3250,"4,15",Negada
J6237,E3250,,Negada
K6142,F3251,"2,48",Aceita
K6034,A3252,"3,15",Aceita
I6074,A3252,,Escolhida
K6076,A3252,"3,15",Aceita
H6079,A3252,,Cancelada
L6089,A3252,"2,82",Aceita
L6119,A3252,"3,15",Aceita
G6126,A3252,,Escolhida
I6128,A3252,,Aceita
K6220,A3252,"3,15",Negada
G6012,B3253,,Aceita
K6016,B3253,,Aceita
L6077,B3253,"4,15",Cancelada
H6163,B3253,,Cancelada
G6174,B3253,"3,48",Cancelada
H6193,B3253,"2,82",Cancelada
L6215,B3253,"2,48",Cancelada
L6029,B3253,,Cancelada
L6035,B3253,"3,15",Escolhida
J6039,B3253,,Aceita
H6043,B3253,,Aceita
J6045,B3253,,Aceita
G6048,B3253,"2,82",Aceita
G6054,B3253,"3,48",Aceita
J6057,B3253,"2,82",Aceita
G6084,B3253,"2,82",Aceita
J6087,B3253,"2,48",Aceita
K6112,B3253,"3,15",Aceita
G6120,B3253,"3,15",Cancelada
G6126,B3253,,Aceita
H6127,B3253,"3,15",Aceita
K6142,B3253,"2,48",Negada
J6159,B3253,,Aceita
I6164,B3253,"2,82",Escolhida
J6165,B3253,"2,48",Cancelada
I6170,B3253,,Aceita
L6173,B3253,,Cancelada
L6203,B3253,"2,15",Aceita
G6210,B3253,,Aceita
K6214,B3253,,Negada
L6215,B3253,"2,48",Aceita
L6227,B3253,"2,15",Aceita
G6240,B3253,,Aceita
L6059,C3254,"2,15",Aceita
I6026,D3255,,Aceita
J6075,D3255,,Negada
L6113,D3255,"3,82",Aceita
L6131,D3255,,Aceita
H6175,D3255,,Negada
G6198,D3255,,Aceita
L6209,D3255,,Aceita
H6223,D3255,"2,82",Inválida / Cancelada
L6131,E3256,,Cancelada
G6216,F3257,"3,48",Cancelada
I6014,A3258,"2,82",Aceita
K6046,A3258,"2,48",Cancelada
I6182,A3258,"3,24",Cancelada
I6236,A3258,,Cancelada
I6236,A3258,,Cancelada
J6039,A3258,,Aceita
H6043,A3258,,Aceita
L6077,A3258,"4,15",Aceita
G6078,A3258,"3,48",Aceita
K6082,A3258,,Aceita
L6083,A3258,"3,15",Aceita
G6084,A3258,"2,82",Aceita
I6092,A3258,"3,48",Aceita
J6117,A3258,"4,15",Aceita
K6130,A3258,"2,82",Aceita
J6135,A3258,"3,48",Aceita
L6143,A3258,"3,48",Aceita
G6168,A3258,"3,82",Aceita
L6221,A3258,"3,15",Aceita
I6242,A3258,"2,82",Aceita
H6037,B3259,"2,48",Negada
K6100,B3259,,Negada
K6004,C3260,"3,15",Aceita
K6034,C3260,"3,15",Aceita
G6150,C3260,,Aceita
K6220,D3261,"3,15",Aceita
I6236,E3262,,Cancelada
H6049,E3262,,Aceita
H6109,E3262,,Aceita
I6236,E3262,,Aceita
G6018,F3263,"3,48",Negada
G6078,F3263,"3,48",Aceita
K6106,F3263,"2,48",Aceita
L6185,F3263,,Escolhida
K6178,A3264,,Aceita
G6000,B3265,"4,15",Negada
L6011,B3265,,Negada
L6023,B3265,"4,15",Negada
L6023,B3265,"4,15",Cancelada
G6030,B3265,"3,15",Aceita
I6104,B3265,,Cancelada
J6183,B3265,,Cancelada
H6205,B3265,,Cancelada
G6042,B3265,,Negada
K6058,B3265,"3,48",Negada
K6094,B3265,,Negada
G6102,B3265,"3,48",Negada
H6103,B3265,,Negada
G6108,B3265,,Negada
K6112,B3265,"3,15",Negada
J6117,B3265,"4,15",Negada
K6124,B3265,"3,48",Negada
L6125,B3265,"4,15",Negada
I6128,B3265,,Negada
I6140,B3265,"3,15",Negada
L6149,B3265,"4,15",Negada
G6168,B3265,"3,82",Negada
H6187,B3265,,Negada
J6189,B3265,"4,15",Negada
H6211,B3265,"3,82",Negada
I6212,B3265,,Negada
G6234,B3265,"3,48",Escolhida
J6237,B3265,,Negada
L6113,C3266,"3,82",Cancelada
L6035,C3266,"3,15",Negada
K6136,C3266,,Negada
G6234,C3266,"3,48",Negada
I6014,D3267,"2,82",Cancelada
L6029,D3267,,Cancelada
I6122,E3268,"3,48",Cancelada
J6153,E3268,"2,82",Cancelada
K6088,F3269,"2,82",Aceita
G6144,F3269,"3,15",Aceita
H6157,F3269,"3,48",Aceita
K6160,F3269,"2,82",Escolhida
I6224,F3269,"3,15",Aceita
G6024,A3270,"2,82",Aceita
G6006,B3271,,Inválida / Cancelada
I6032,B3271,,Aceita
I6170,B3271,,Cancelada
I6188,C3272,,Cancelada
J6039,D3273,,Aceita
J6135,D3273,"3,48",Cancelada
I6140,D3273,"3,15",Aceita
I6236,D3273,,Cancelada
I6242,D3273,"2,82",Cancelada
J6003,E3274,"2,82",Inválida / Cancelada
K6148,E3274,"2,15",Cancelada
H6145,F3275,"2,15",Cancelada
H6001,A3276,,Cancelada
K6016,A3276,,Aceita
G6018,A3276,"3,48",Aceita
L6149,A3276,"4,15",Cancelada
J6153,A3276,"2,82",Cancelada
I6050,A3276,"4,15",Negada
H6067,A3276,,Cancelada
J6069,A3276,,Inválida / Cancelada
J6075,A3276,,Negada
I6086,A3276,"3,15",Cancelada
L6143,A3276,"3,48",Negada
H6163,A3276,,Cancelada
L6179,A3276,"4,15",Negada
K6196,A3276,"2,48",Negada
G6222,A3276,"2,82",Cancelada
L6239,A3276,"3,48",Negada
G6018,B3277,"3,48",Aceita
H6025,B3277,"2,82",Cancelada
G6210,B3277,,Cancelada
J6099,B3277,"3,48",Escolhida
G6180,B3277,"3,48",Escolhida
H6019,C3278,"2,82",Aceita
H6103,C3278,,Cancelada
K6106,C3278,"2,48",Cancelada
L6167,C3278,,Escolhida
L6167,C3278,,Cancelada
I6170,C3278,,Aceita
J6171,C3278,,Cancelada
H6175,C3278,,Escolhida
I6182,C3278,"3,24",Escolhida
J6195,C3278,"3,48",Aceita
H6073,D3279,"2,82",Cancelada
L6227,D3279,"2,15",Cancelada
J6123,D3279,,Aceita
L6131,D3279,,Aceita
K6148,D3279,"2,15",Cancelada
J6015,E3280,"3,48",Negada
J6153,E3280,"2,82",Cancelada
H6091,E3280,"2,48",Aceita
J6153,F3281,"2,82",Cancelada
G6138,F3281,,Aceita
H6109,A3282,,Cancelada
L6155,A3282,"2,82",Aceita
K6172,A3282,,Aceita
I6032,B3283,,Aceita
J6153,B3283,"2,82",Cancelada
H6091,B3283,"2,48",Escolhida
I6170,B3283,,Aceita
G6060,C3284,"3,82",Aceita
H6001,D3285,,Aceita
J6015,D3285,"3,48",Aceita
K6016,D3285,,Aceita
G6018,D3285,"3,48",Cancelada
K6022,D3285,"3,48",Aceita
K6010,D3285,"2,82",Cancelada
G6072,D3285,"3,48",Cancelada
J6087,D3285,"2,48",Cancelada
J6153,D3285,"2,82",Cancelada
J6165,D3285,"2,48",Cancelada
H6175,D3285,,Cancelada
J6189,D3285,"4,15",Cancelada
J6213,D3285,,Cancelada
L6227,D3285,"2,15",Cancelada
J6033,D3285,"3,15",Escolhida
G6042,D3285,,Escolhida
L6047,D3285,,Aceita
H6049,D3285,,Aceita
I6050,D3285,"4,15",Escolhida
K6052,D3285,"2,15",Escolhida
K6064,D3285,,Cancelada
L6065,D3285,,Negada
H6067,D3285,,Escolhida
J6069,D3285,,Inválida / Cancelada
K6070,D3285,"3,82",Aceita
J6075,D3285,,Escolhida
I6086,D3285,"3,15",Escolhida
G6090,D3285,"3,48",Escolhida
J6093,D3285,"3,82",Aceita
I6098,D3285,"3,48",Aceita
K6112,D3285,"3,15",Aceita
L6113,D3285,"3,82",Aceita
H6121,D3285,"3,48",Escolhida
I6122,D3285,"3,48",Negada
L6125,D3285,"4,15",Aceita
I6128,D3285,,Negada
L6131,D3285,,Escolhida
H6133,D3285,"2,82",Escolhida
I6134,D3285,"3,48",Escolhida
L6137,D3285,,Inválida / Cancelada
G6138,D3285,,Inválida / Cancelada
K6142,D3285,"2,48",Negada
L6149,D3285,"4,15",Aceita
H6151,D3285,"2,48",Negada
K6160,D3285,"2,82",Escolhida
K6166,D3285,"3,48",WaitList
L6167,D3285,,Aceita
G6168,D3285,"3,82",Aceita
K6178,D3285,,Aceita
L6179,D3285,"4,15",Aceita
G6180,D3285,"3,48",Negada
I6182,D3285,"3,24",Negada
K6196,D3285,"2,48",Escolhida
K6202,D3285,,Aceita
G6204,D3285,,Negada
L6215,D3285,"2,48",Aceita
I6218,D3285,,Aceita
G6228,D3285,,Cancelada
L6239,D3285,"3,48",Aceita
H6001,E3286,,Aceita
G6012,E3286,,Escolhida
J6015,E3286,"3,48",Aceita
K6016,E3286,,Aceita
G6078,E3286,"3,48",Cancelada
I6092,E3286,"3,48",Cancelada
K6106,E3286,"2,48",Cancelada
H6109,E3286,,Cancelada
J6033,E3286,"3,15",Aceita
J6039,E3286,,Aceita
L6047,E3286,,Aceita
H6049,E3286,,Aceita
I6050,E3286,"4,15",Aceita
L6065,E3286,,Negada
H6067,E3286,,Aceita
G6072,E3286,"3,48",Aceita
J6075,E3286,,Aceita
I6086,E3286,"3,15",Aceita
H6103,E3286,,Escolhida
H6109,E3286,,Escolhida
I6110,E3286,"2,82",Cancelada
J6117,E3286,"4,15",Escolhida
H6121,E3286,"3,48",Aceita
I6134,E3286,"3,48",Aceita
J6135,E3286,"3,48",Aceita
I6140,E3286,"3,15",Aceita
K6142,E3286,"2,48",Negada
L6143,E3286,"3,48",Aceita
I6146,E3286,"3,48",Escolhida
L6149,E3286,"4,15",Aceita
H6151,E3286,"2,48",Aceita
K6160,E3286,"2,82",Aceita
J6165,E3286,"2,48",Aceita
G6168,E3286,"3,82",Aceita
G6174,E3286,"3,48",Escolhida
L6179,E3286,"4,15",Aceita
I6182,E3286,"3,24",Aceita
K6184,E3286,,Aceita
J6195,E3286,"3,48",Aceita
K6196,E3286,"2,48",Aceita
L6197,E3286,"3,15",Aceita
G6216,E3286,"3,48",Aceita
J6225,E3286,"4,15",Aceita
G6228,E3286,,Cancelada
L6245,E3286,"4,15",Aceita
G6000,F3287,"4,15",Negada
L6011,F3287,,Negada
G6030,F3287,"3,15",Negada
K6004,F3287,"3,15",Cancelada
K6064,F3287,,Cancelada
L6101,F3287,"3,48",Cancelada
H6175,F3287,,Cancelada
L6215,F3287,"2,48",Cancelada
L6227,F3287,"2,15",Cancelada
L6035,F3287,"3,15",Negada
L6041,F3287,"3,48",Negada
I6044,F3287,"3,82",Negada
J6051,F3287,,Negada
L6053,F3287,"2,82",Negada
K6070,F3287,"3,82",Aceita
H6073,F3287,"2,82",Negada
I6080,F3287,"3,48",Negada
I6080,F3287,"3,48",Negada
K6082,F3287,,Negada
L6089,F3287,"2,82",Negada
L6095,F3287,,Negada
I6098,F3287,"3,48",Negada
J6099,F3287,"3,48",Negada
J6105,F3287,,Negada
J6111,F3287,,Negada
I6116,F3287,,Negada
I6122,F3287,"3,48",Negada
L6137,F3287,,Negada
H6139,F3287,,Negada
J6147,F3287,,Aceita
I6152,F3287,"2,48",Negada
I6158,F3287,,Negada
G6162,F3287,,Negada
K6166,F3287,"3,48",Negada
I6176,F3287,"3,15",Negada
I6182,F3287,"3,24",Negada
K6190,F3287,"2,15",Negada
G6192,F3287,,Negada
H6199,F3287,,Negada
J6201,F3287,,Negada
G6204,F3287,,Negada
J6207,F3287,"3,48",Negada
L6209,F3287,,Negada
J6213,F3287,,Negada
K6220,F3287,"3,15",Negada
K6226,F3287,,Aceita
K6238,F3287,"3,48",Negada
G6000,A3288,"4,15",Aceita
K6064,A3288,,Cancelada
I6122,A3288,"3,48",Cancelada
L6041,A3288,"3,48",Negada
H6073,A3288,"2,82",Aceita
K6082,A3288,,Negada
J6099,A3288,"3,48",Aceita
J6105,A3288,,Negada
J6111,A3288,,Aceita
I6116,A3288,,Negada
G6162,A3288,,Aceita
G6180,A3288,"3,48",Aceita
L6209,A3288,,Aceita
J6213,A3288,,Aceita
H6217,A3288,"3,15",Escolhida
H6175,B3289,,Cancelada
L6041,B3289,"3,48",Negada
K6052,B3289,"2,15",Negada
L6053,B3289,"2,82",Negada
L6089,B3289,"2,82",Negada
J6105,B3289,,Negada
J6111,B3289,,Negada
I6116,B3289,,Negada
I6122,B3289,"3,48",Aceita
G6162,B3289,,Negada
I6176,B3289,"3,15",Negada
K6190,B3289,"2,15",Negada
G6192,B3289,,Aceita
J6213,B3289,,Negada
H6217,B3289,"3,15",Negada
G6000,C3290,"4,15",Escolhida
K6004,C3290,"3,15",Negada
L6011,C3290,,Aceita
H6013,C3290,"2,15",Negada
G6030,C3290,"3,15",Negada
I6074,C3290,,Cancelada
L6101,C3290,"3,48",Cancelada
H6175,C3290,,Cancelada
L6215,C3290,"2,48",Cancelada
K6034,C3290,"3,15",Escolhida
L6035,C3290,"3,15",Negada
L6041,C3290,"3,48",Negada
I6044,C3290,"3,82",Escolhida
J6051,C3290,,Negada
L6053,C3290,"2,82",Negada
K6070,C3290,"3,82",Aceita
I6080,C3290,"3,48",Negada
K6082,C3290,,Negada
J6087,C3290,"2,48",Negada
